#,Комнат,Район города,Адрес,Этаж,Общ,Жил,Кух,М,Тел,Примечания,Цена
20,1,Московский,Новоизмайловский пр. 9,1/5,32.0,19.0,6.0,Парк Победы 15 пеш,(911)159-5607,отл/рем ряд/парк ДГ,4300.0
21,1,Московский,Московское ш. 30,4/5,32.0,18.0,6.0,Звездная 5 пеш,600-46-46,"ПП отл.сост., мебель",4200.0
22,1,Московский,Московское ш. 14,1/5,42.0,19.0,9.0,Звездная 5 пеш,318-08-68,"89013059844,ПП,х/с,ст/п",5250.0
23,1,Московский,Московский пр. 94,2/5,35.0,16.5,9.0,Фрунзенская 5 пеш,315-00-55,89213891312,5500.0
24,1,Московский,Ленсовета ул. 28,1/5,32.0,19.0,6.0,Московская 5 пеш,315-00-55,8(911)240-02-48ПП ипотека,3800.0
25,1,Московский,Кузнецовская ул. 12,1/5,30.6,17.9,5.9,Электросила 10 пеш,380-30-01,"8-9213471755 ВП, требует",3400.0
26,1,Московский,Кубинская ул. 5,2/5,32.0,16.0,6.0,Электросила 5 тр,(906)276-7492,"ПП, Б, треб. ремонт",3400.0
27,1,Московский,Кубинская ул. 36,5/5,31.6,18.0,5.6,Парк Победы 10 пеш,(921)924-5585,ВПП мен3г Балкон стек/пак,3100.0
28,1,Московский,Кубинская ул. 10,4/5,31.0,17.0,5.5,Электросила 15 тр,448-08-80,ПП (921)417-2646 б заст,3050.0
29,1,Московский,Краснопутиловская ул. 54,3/5,31.8,18.0,5.5,Московская 20 пеш,939-03-02,89602502032пп хс Б стп 1с,3250.0
30,1,Московский,Космонавтов пр. 94,1/5,31.0,17.0,5.5,Звездная 5 пеш,(921)634-6869,ПП. более3-х. х. р. своб.,3400.0
31,1,Московский,Космонавтов пр. 68 к. 1,1/5,30.6,20.8,5.2,Звездная 15 пеш,932-82-56,"ПП, мебель, техника",3500.0
32,1,Московский,Космонавтов пр. 48 к. 4,1/5,31.0,17.5,5.5,Московская 15 тр,997-78-47,"ХС, мебель, торг",3600.0
33,1,Московский,Космонавтов пр. 48 к. 3,1/5,32.0,17.0,5.7,Звездная 3 ост,(921)941-7912,"ПП, ХС, ЖСК. ОК. зел/дв",3150.0
34,1,Московский,Космонавтов пр. 29 к. 3,2/5,31.0,17.0,6.5,Московская 15 пеш,(921)760-2207,"ПП, зеленый двор, балкон",3650.0
35,1,Московский,Космонавтов пр. 29 к. 1,5/5,31.0,18.5,5.5,Парк Победы 15 пеш,740-70-40,"1-18404 отл.рем,вст.кух",4056.0
36,1,Московский,Киевская ул. 3,5/5,29.0,16.0,7.2,Фрунзенская 5 пеш,(952)201-4139,"2-х стор,высота 2-ого эт.",4390.0
37,1,Московский,Киевская ул. 22,1/5,18.0,14.0,0.0,Фрунзенская 5 пеш,380-73-30,89817279688 студия. Прода,1750.0
38,1,Московский,Витебский пр. 53 к. 3,1/5,32.0,18.0,5.5,Звездная 5 тр,(921)412-8922,8921 412 89 22 Елена.,3700.0
39,1,Московский,Витебский пр. 51 к. 2,3/5,30.0,17.0,5.3,Московская 10 тр,993-31-75,ОС ОЗД встр/кух кафель,3500.0
40,1,Московский,Витебский пр. 47 к. 3,5/5,31.0,17.0,6.0,Московская 10 тр,(921)300-1879,ХС ПП стп ДГ,3500.0
41,1,Московский,Витебский пр. 33 к. 3,4/5,31.0,18.0,5.5,Парк Победы 10 тр,(921)775-6488,ремонт Балкон бол/3л,4300.0
42,1,Московский,Витебский пр. 33 к. 3,4/5,30.8,17.1,5.4,Московская 10 тр,322-52-40,"955-29-29 ВП, дом ЖСК,Б",3150.0
43,1,Московский,Варшавская ул. 60,5/5,31.5,18.0,5.3,Парк Победы 10 пеш,325-38-38,9032037 ПП ХС бол 3 л ЖСК,4100.0
44,1,Московский,Варшавская ул. 45 к. 3,3/5,31.0,18.0,5.3,Московская 10 пеш,740-70-40,1-16551 ДГбол3летБалкон,3600.0
45,1,Московский,Варшавская ул. 41 к. 4,2/5,30.0,16.0,5.5,Парк Победы 10 пеш,984-18-44,"9112200499, Б",3700.0
46,1,Московский,Благодатная ул. 15,5/5,30.0,18.0,6.0,Электросила 15 пеш,(911)082-0480,ХС ВП,3500.0
47,1,Московский,Алтайская ул. 31,1/5,31.0,17.0,6.0,Московская 5 пеш,334-32-53,89111258317 ВП Б 3 лет,3600.0
51,1,Московский,Пулковское ш. 22 к. 3,5/6,36.0,18.5,8.6,Московская 10 тр,315-00-55,"89013005806,ПП,ХС,Л",4450.0
52,1,Московский,Варшавская ул. 37 к. 1,6/6,37.0,19.5,6.1,Парк Победы 10 пеш,327-66-90,903-86-97 ПП евро+мебель,4990.0
54,1,Московский,Московское ш. 8,6/7,30.0,16.2,7.5,Московская 15 пеш,318-08-68,"срочно ДГ более 3 лет, пр",4100.0
55,1,Московский,Московский пр. 181,4/7,42.0,20.0,12.0,Московская 5 пеш,(921)964-5985,"пп, б/о, элит., заселен.",6000.0
56,1,Московский,Московский пр.,3/7,25.6,13.1,4.1,Московская 5 пеш,339-08-08,Акция! Подчист. отделка!,3140.0
57,1,Московский,Московский пр. 86,5/8,30.1,17.4,5.0,Фрунзенская 5 пеш,404-66-15,"89046450224,ПП,68г.п.,лиф",4100.0
58,1,Московский,Конституции пл. 1 к. 2,2/8,37.0,18.0,9.0,Московская 15 пеш,574-98-78,89117988126 бол.3лет ПП,5600.0
59,1,Московский,Дунайский пр. 7,3/8,27.5,14.1,5.9,Звездная 15 пеш,335-55-55,www.spbrealty.ru,3401.0
60,1,Московский,Дунайский пр. 7,2/8,27.7,14.1,5.9,Звездная 15 пеш,335-55-55,www.spbrealty.ru,3235.0
64,1,Московский,Пулковская ул. 17,1/9,36.0,0.0,7.0,Звездная 5 пеш,438-05-48,"921-5934969отл,пп",4200.0
65,1,Московский,Орджоникидзе ул. 63,8/9,32.7,17.2,7.5,Звездная,329-57-57,927-99-95 ХС соб3 лет,4800.0
66,1,Московский,Орджоникидзе ул. 63,2/9,35.0,17.0,9.0,Звездная 15 пеш,(952)285-1907,ПП ХС ЗЛ более 3-х лет,3950.0
67,1,Московский,Новоизмайловский пр. 44 к. 5,2/9,39.2,18.7,8.3,Московская 10 пеш,(921)096-3111,ПП ДГ евро ЗБ МЕБ торг,4900.0
68,1,Московский,Ленсовета ул. 52,2/9,33.0,19.0,7.0,Московская 10 пеш,(921)579-0201,8-921-579-02-01 Елена. Кв,4000.0
69,1,Московский,Ленинский пр. 147 к. 2,9/9,70.0,26.0,12.0,Московская 10 пеш,903-70-25,"Отд, встр. меб, тренаж.",5600.0
70,1,Московский,Краснопутиловская ул. 121,5/9,31.0,15.0,8.0,Московская 7 пеш,(911)986-2505,ХС ст/п +лдж. 5м ок/двор,3700.0
71,1,Московский,Космонавтов пр. 82,2/9,34.0,17.0,9.0,Звездная 5 пеш,275-83-42,"89111468018 ХС,Б",4000.0
72,1,Московский,Космонавтов пр. 32 к. 2,8/9,30.8,15.5,7.9,Парк Победы 10 тр,927-37-44,ПП,4100.0
73,1,Московский,Космонавтов пр. 32 к. 2,7/9,31.0,15.6,8.2,Московская 7 тр,(931)305-3501,"ПП, менее 3-х лет",3600.0
74,1,Московский,Витебский пр. 67,9/9,32.2,16.5,8.5,Звездная 10 тр,333-39-99,встречка,4200.0
75,1,Московский,Витебский пр. 71,8/9,36.2,20.6,7.5,Звездная 15 пеш,(981)778-4727,хсППмен.3лет.Б.торгдок.го,4000.0
76,1,Московский,Витебский пр. 67,7/9,31.5,15.6,8.8,Звездная 10 пеш,643-43-07,Квартира в отличном состо,4300.0
77,1,Московский,Витебский пр. 63,6/9,30.0,16.0,9.0,Московская 10 тр,643-43-07,"ПП, 89062268396 Мария",4300.0
78,1,Московский,Витебский пр. 63,6/9,30.0,15.0,9.0,Звездная 15 пеш,(921)188-8777,"Евро, ПП, Б3л, Зб",4400.0
79,1,Московский,Витебский пр. 63,3/9,30.0,15.0,8.0,Парк Победы 10 тр,324-40-09,ПП ОТЛ РЕМ 89119067605,3800.0
80,1,Московский,Варшавская ул. 43 к. 1,2/9,35.0,18.0,7.0,Московская 15 пеш,340-04-94,8(905)215-56-88 ВП ХС Б.,4800.0
81,1,Московский,Варшавская ул. 23 к. 1,3/9,25.0,18.0,5.0,Парк Победы 7 пеш,670-06-70,"ПП, ОС, Б, с обстановкой",4050.0
82,1,Московский,Дунайский пр. 7,3/9,26.3,17.4,0.0,Звездная 15 пеш,335-55-55,www.spbrealty.ru,2607.0
83,1,Московский,Дунайский пр. 7,2/9,26.3,17.7,0.0,Звездная 15 пеш,335-55-55,www.spbrealty.ru,2817.0
84,1,Московский,Дунайский пр. 7,2/9,38.0,16.9,11.6,Звездная 15 пеш,335-55-55,www.spbrealty.ru,3480.0
85,1,Московский,Витебский пр. 61,5/10,40.5,18.6,11.1,Звездная 5 тр,(960)263-2913,"г. п 2009, лдж., торг",4600.0
86,1,Московский,Варшавская ул. 9 к. 1,8/10,47.2,21.5,11.5,Электросила 3 пеш,740-70-40,1-17216 ппос элит Срочн,6100.0
87,1,Московский,Варшавская ул. 9 к. 1,4/10,47.1,21.3,12.7,Электросила 5 пеш,321-65-40,"89216337956,ПП,Б,ХСДва",6320.0
88,1,Московский,Московское ш. 4,9/11,33.0,18.6,8.3,Московская 10 пеш,(921)583-5981,пр пр,4150.0
91,1,Московский,Пулковское ш. 9 к. 1,11/12,36.3,18.6,7.2,Московская 15 пеш,438-05-48,89213036507ПП,4550.0
92,1,Московский,Пулковское ш. 5 к. 2,6/12,36.0,18.0,7.3,Московская 10 пеш,326-29-59,ПП89111988863Супер ремонт,4990.0
93,1,Московский,Пулковское ш. 13 к. 5,12/12,36.5,18.3,7.3,Московская 20 пеш,345-06-80,"9200563,ЛВП,5 лет,хор р-н",4070.0
94,1,Московский,Пулковское ш. 13 к. 2,10/12,48.0,16.0,19.6,Московская 10 пеш,(921)741-5101,ПП Меб. Тех. зЛ,5400.0
95,1,Московский,Новоизмайловский пр.,12/12,37.0,20.0,10.0,Парк Победы 10 пеш,712-05-00,89052793407 отл стп пп,4360.0
96,1,Московский,Новоизмайловский пр. 69,5/12,30.0,15.0,6.5,Парк Победы 15 пеш,380-30-01,9217795469дглч/пжск,3650.0
97,1,Московский,Московский пр. 73,9/12,24.0,13.0,4.0,Фрунзенская 5 пеш,(911)975-5616,"Л10866,911-975-56-16,п/у",3750.0
98,1,Московский,Московский пр. 73,5/12,27.4,22.0,0.0,Фрунзенская,300-77-00,Отделка.Меблировка.Ипот.,5235.0
99,1,Московский,Московский пр. 73,7/12,32.4,19.6,0.0,Фрунзенская,300-77-00,Отделка.Меблировка.Ипот.,6090.0
100,1,Московский,Московский пр. 73,4/12,33.7,21.8,0.0,Фрунзенская,300-77-00,Отделка.Меблировка.Ипот.,6312.0
101,1,Московский,Московский пр. 73,4/12,20.8,21.5,0.0,Фрунзенская,300-77-00,Отделка.Меблировка.Ипот.,5042.0
102,1,Московский,Московский пр. 73,3/12,50.9,39.6,0.0,Фрунзенская,300-77-00,Отделка.Меблировка.Ипот.,8282.0
103,1,Московский,Московский пр. 73,11/12,35.4,22.2,0.0,Фрунзенская,300-77-00,Отделка.Меблировка.Ипот.,6603.0
104,1,Московский,Московский пр. 73,11/12,32.2,19.6,0.0,Фрунзенская,300-77-00,Отделка.Меблировка.Ипот.,6056.0
105,1,Московский,Дунайский пр. 3 к. 4,5/12,33.2,16.2,8.6,Звездная 5 пеш,642-19-14,нов/дом ОС,4290.0
106,1,Московский,5 Предпортовый прд. 1,6/12,43.0,19.0,12.0,Московская 10 пеш,(981)721-8781,"Отл. сост, прям. продажа",6400.0
107,1,Московский,5 Предпортовый прд. 10 к. 2,6/12,35.9,18.0,7.2,Московская 15 пеш,676-22-20,8-921-958-06-37 ПП б3л,4390.0
111,1,Московский,Дунайский пр. 7,3/12,27.1,17.4,0.0,Звездная 15 пеш,335-55-55,www.spbrealty.ru,2864.0
112,1,Московский,Дунайский пр. 7,3/12,22.1,15.1,0.0,Звездная 15 пеш,335-55-55,кв-ры от застройщика,2603.0
113,1,Московский,Дунайский пр. 7,2/12,40.2,17.6,10.7,Звездная 15 пеш,335-55-55,www.spbrealty.ru,3540.0
114,1,Московский,Дунайский пр. 7,2/12,25.6,17.0,0.0,Звездная 15 пеш,335-55-55,www.spbrealty.ru,2750.0
115,1,Московский,Дунайский пр. 3 к. 4,8/13,42.0,18.0,10.0,Звездная 10 пеш,315-00-55,79312301618 ПП Ев/ремонт,5100.0
116,1,Московский,Дунайский пр. 3 к. 3,13/13,34.9,16.0,10.8,Звездная 10 пеш,(921)849-3538,"ПП, более 3-х лет, ос, зЛ",4290.0
117,1,Московский,Бассейная ул. 89,2/13,55.2,20.5,17.5,Парк Победы 15 пеш,740-70-40,1-17588 89218489422ппхс,6450.0
122,1,Московский,Юрия Гагарина пр. 36,4/14,45.0,21.0,12.0,Московская 10 пеш,327-86-04,89213509433 ПП,4550.0
123,1,Московский,Типанова ул. 38,3/14,45.0,18.0,11.3,Московская,740-70-40,5-598954,5600.0
124,1,Московский,Смоленская ул. 13,6/14,33.0,23.5,0.0,Фрунзенская 5 пеш,903-47-97,Соб-ть. Заселен. Ремонт п,5200.0
125,1,Московский,Смоленская ул. 13,12/14,31.0,0.0,0.0,Фрунзенская 5 пеш,(981)770-8464,"ПП, соб-ть, евро, заселен",4990.0
126,1,Московский,Орджоникидзе ул. 45/1,1/14,35.4,20.3,7.2,Звездная 10 пеш,325-20-89,89052227480,4350.0
127,1,Московский,Московский пр. 181,13/14,24.6,20.0,0.0,Московская 10 пеш,570-10-75,89213395149.Гр.Орлов,3150.0
128,1,Московский,Ленсовета ул. 66,10/14,37.0,21.8,7.7,Звездная 5 пеш,(921)654-0721,"ХС, Л-6м, ст/п вид",4395.0
129,1,Московский,Ленинский пр. 147 к. 2,3/14,43.4,16.2,12.1,Московская 10 пеш,947-06-90,ПП н/д 2010 не жили евро,5500.0
130,1,Московский,Космонавтов пр. 65 к. 9,8/14,34.0,16.2,9.0,Звездная 5 пеш,(960)254-3170,Прямая продажа квартиры в,4800.0
131,1,Московский,Витебский пр. 25,11/14,37.0,21.0,8.0,Парк Победы 3 ост,(921)353-1486,ПП Своб Л6м П более 3 лет,4300.0
132,1,Московский,Варшавская ул. 6 к. 1,4/14,39.0,16.9,10.3,Электросила 5 пеш,380-07-08,ПП 9214228586,5700.0
133,1,Московский,Обводного кан. наб. 108,14/14,44.3,16.4,14.6,Фрунзенская 5 пеш,335-55-55,www.elita-spb.ru,6826.0
134,1,Московский,Обводного кан. наб. 108,5/14,31.4,16.8,5.2,Фрунзенская 5 пеш,335-55-55,кв-ры от застройщика,4614.0
135,1,Московский,Заозерная ул.,5/14,39.3,24.0,15.0,Фрунзенская 7 пеш,407-23-23,"Л11956,п/чист,метро пеш",5134.0
136,1,Московский,Заозерная ул.,2/14,39.3,15.3,11.2,Фрунзенская 5 пеш,676-12-12,Супер цена! Скидки!,4723.0
137,1,Московский,Заозерная ул.,2/14,39.3,15.3,11.2,Фрунзенская 5 пеш,676-12-12,Выгодня рассрочка! Акция!,4723.0
138,1,Московский,Заозерная ул. 3А,5/14,44.9,12.5,18.3,Фрунзенская 3 пеш,335-55-55,www.spbrealty.ru,5604.0
139,1,Московский,Заозерная ул.,2/14,39.3,15.3,11.1,Фрунзенская 5 пеш,676-12-12,Выгода до 400 тыс! ! ! !,4723.0
140,1,Московский,Заозерная ул. 3А,4/14,38.2,16.0,10.4,Фрунзенская 3 пеш,335-55-55,www.spbrealty.ru,5066.0
141,1,Московский,Заозерная ул. 3А,2/14,55.8,16.4,10.9,Фрунзенская 3 пеш,335-55-55,www.spbrealty.ru,5919.0
142,1,Московский,Заозерная ул. 3А,2/14,39.3,15.3,11.2,Фрунзенская 3 пеш,335-55-55,кв-ры от застройщика,4723.0
143,1,Московский,Заозерная ул. 3А,2/14,45.7,12.5,18.8,Фрунзенская 3 пеш,335-55-55,www.spbrealty.ru,5348.0
144,1,Московский,Заозерная ул. 3А,2/14,44.2,13.3,18.7,Фрунзенская 3 пеш,335-55-55,www.spbrealty.ru,5215.0
145,1,Московский,Заозерная ул. 3А,10/14,39.0,14.2,10.6,Фрунзенская 3 пеш,335-55-55,www.spbrealty.ru,5069.0
146,1,Московский,Заозерная ул. 3,10/14,39.0,14.2,10.6,Фрунзенская 5 пеш,645-15-30,"951-53-29 бизнес, паркинг",5509.0
147,1,Московский,Заозерная ул. 3,4/14,39.3,14.2,10.9,Фрунзенская 5 пеш,645-15-30,"951-53-29 бизнес, паркинг",5335.0
148,1,Московский,Заозерная ул. 3А,10/14,37.9,16.0,10.4,Фрунзенская 3 пеш,335-55-55,www.spbrealty.ru,5464.0
149,1,Московский,Варшавская ул. 6,4/14,39.0,16.9,10.0,Электросила 5 пеш,380-07-08,собственность,5700.0
150,1,Московский,Смоленская ул. 9 к. 1,1/15,42.2,15.0,16.6,Фрунзенская,300-77-00,"засел,к/м",5580.0
151,1,Московский,Орджоникидзе ул. 58 к. 1,2/15,35.0,15.5,10.5,Купчино 15 пеш,(921)400-0410,"пп,б 3 л,еврорем,элитн. д",4500.0
152,1,Московский,Дунайский пр. 7 к. 3,10/15,47.0,20.1,10.0,Звездная,322-68-90,"89052025283,ПП,срочно!",4200.0
153,1,Московский,Дунайский / Пулковское,8/15,35.0,15.0,9.0,Звездная,995-09-95,"вид, отл. план., Л-3м, НД",3650.0
154,1,Московский,Дунайский / Пулковское,3/15,40.0,17.0,10.0,Звездная,995-09-95,"вид, Л-6м., отл. план. НД",4100.0
155,1,Московский,Дунайский / Пулковское,13/15,37.0,16.0,10.0,Звездная,995-09-95,"вид, Л-3м, НД",3800.0
156,1,Московский,5 Предпортовый прд. 10,9/15,38.0,19.0,10.0,Московская 10 пеш,327-27-95,8911255-2259 ПП ХС бол/3л,4490.0
157,1,Московский,Дунайский / Московское,5/15,26.0,18.0,0.0,Звездная 7 пеш,924-75-36,дом у метро,2600.0
158,1,Московский,Дунайский / Московское,7/15,36.0,16.0,11.0,Звездная 7 пеш,924-75-36,дом у метро,3300.0
167,1,Московский,Юрия Гагарина пр. 63 к. 2,16/16,37.9,18.3,11.2,Звездная 10 пеш,(965)064-7717,"ПП, ХС, Л",4950.0
168,1,Московский,Пулковская ул. 6 к. 4,9/16,26.0,14.2,6.4,Звездная 5 пеш,(931)578-3118,"ВПП, п/рем, З/Б",3900.0
169,1,Московский,Пулковская ул. 6 к. 3,13/16,25.0,25.0,0.0,Звездная 5 пеш,928-87-18,"ПП, з/л, более 3-х лет",3410.0
170,1,Московский,Орджоникидзе ул. 59 к. 2,9/16,42.4,42.4,4.0,Звездная 15 пеш,327-86-80,89119545666 б/о собств Б,4400.0
171,1,Московский,Орджоникидзе ул. 59 к. 2,8/16,27.7,20.6,5.3,Звездная 5 тр,600-91-60,9117972061 без отделки,3380.0
172,1,Московский,Орджоникидзе ул. 59 к. 2,7/16,26.3,19.7,0.0,Звездная 10 пеш,(963)341-4969,ПП собств-ть,3390.0
173,1,Московский,Орджоникидзе ул. 59 к. 2,5/16,28.0,0.0,0.0,Звездная 10 пеш,(952)350-4150,Отл. сост. ПП ст/пак,3750.0
174,1,Московский,Орджоникидзе ул. 59 к. 2,10/16,44.0,22.2,9.3,Звездная 15 пеш,(921)347-3736,ПП собств б/о,4700.0
175,1,Московский,Орджоникидзе ул. 58 к. 1,15/16,34.0,16.0,11.0,Звездная 15 пеш,337-59-50,1к.(911)-2831698 Бадри,4700.0
176,1,Московский,Орджоникидзе ул. 58 к. 1,12/16,34.2,15.5,10.5,Звездная 10 пеш,740-70-40,"1-18789 ОС,ПП,евро.",5000.0
177,1,Московский,Краснопутиловская ул. 56 к. 2,10/16,51.0,21.0,12.0,Московская,331-71-77,"942-57-20, отличная 1 к.к",5200.0
178,1,Московский,Дунайский пр.,12/16,37.2,18.0,10.0,Звездная 10 пеш,372-50-02,Отделка! Метро! Готов!,3920.0
179,1,Московский,Дунайский / Пулковское,6/16,38.0,16.0,10.0,Звездная 15 пеш,(911)909-0165,ЖК Салют ключи апрель,4100.0
180,1,Московский,Витебский пр.,8/16,41.0,19.0,10.0,Московская,642-98-35,"L28718,нов.дом субсидии",2590.0
181,1,Московский,Варшавская ул. 6,4/16,29.0,19.4,0.0,Электросила 5 пеш,380-92-28,9818361422 нов дом ПП,4180.0
182,1,Московский,Варшавская ул. 6 к. 1,6/16,37.5,24.0,0.0,Электросила 5 пеш,(921)350-6665,Ж.К. Московский квартал.,4900.0
183,1,Московский,Варшавская ул. 6 к. 1,10/16,26.9,19.4,0.0,Электросила 5 пеш,(921)350-6665,Собственность. Ж.К. Моско,3750.0
184,1,Московский,Варшавская ул. 10,15/16,28.0,18.0,0.0,Электросила 2 пеш,332-71-56,"89602383435. П/п, б/о, ин",3951.0
185,1,Московский,Бассейная ул. 10,13/16,53.0,10.5,28.0,Парк Победы 5 пеш,(921)572-5258,"ПП, стильный ремонт, Б,Л",9900.0
186,1,Московский,Пулковское ш.,8/16,36.6,0.0,10.6,Звездная 12 пеш,331-27-76,,3712.0
187,1,Московский,Пулковское ш.,8/16,36.6,0.0,10.6,Звездная 12 пеш,904-18-00,,3712.0
188,1,Московский,Пулковское ш.,8/16,21.9,0.0,0.0,Звездная 12 пеш,331-27-76,,2585.0
189,1,Московский,Пулковское ш.,8/16,24.5,0.0,0.0,Звездная 12 пеш,904-18-00,,2752.0
190,1,Московский,Пулковское ш.,7/16,47.6,0.0,16.4,Звездная 12 пеш,904-18-00,,5187.0
191,1,Московский,Пулковское ш.,16/16,29.3,0.0,0.0,Звездная 12 пеш,904-18-00,,3580.0
192,1,Московский,Московский / Обводного кан.,11/16,46.5,18.3,19.3,Фрунзенская 5 пеш,335-55-55,www.elita-spb.ru,6311.0
193,1,Московский,Московский / Обводного кан.,6/16,42.7,12.5,14.8,Фрунзенская 5 пеш,335-55-55,кв-ры от застройщика,5888.0
194,1,Московский,Московский / Обводного кан.,6/16,49.5,18.1,18.4,Фрунзенская 5 пеш,335-55-55,www.elita-spb.ru,6348.0
196,1,Московский,Дунайский пр.,12/16,37.2,18.0,10.0,Звездная 10 пеш,372-50-02,Отделка! Метро! Готов!,3920.0
197,1,Московский,Дунайский пр. 7,3/16,26.4,14.0,4.9,Звездная 15 пеш,335-55-55,www.spbrealty.ru,3305.0
198,1,Московский,Дунайский пр. 7,2/16,26.4,14.0,4.9,Звездная 15 пеш,335-55-55,www.spbrealty.ru,3170.0
199,1,Московский,Дунайский / Пулковское,9/16,47.6,13.5,16.3,Звездная,(921)632-6338,п/у ключи-май ЖК Салют от,4780.0
205,1,Московский,Пулковское ш. 26 к. 7,10/17,38.0,18.5,9.0,Московская,579-09-94,"(904)606-6404ПП,е/р,меб,т",5100.0
206,1,Московский,Московский пр. 139,3/17,27.0,19.0,4.0,Электросила 5 пеш,(960)264-5827,"ПП, б/отд.",3550.0
207,1,Московский,Космонавтов пр. 65 к. 2,12/17,36.4,16.4,9.0,Звездная 5 пеш,313-05-30,"f. arsagera.ru, соб. б/о",4450.0
208,1,Московский,Дунайский пр. 7 к. 3,6/17,32.0,20.0,4.0,Звездная 10 пеш,(931)578-3118,"ВП, З/Б, ОС",4250.0
209,1,Московский,Дунайский пр. 5 к. 7,14/17,33.1,15.0,9.0,Звездная 15 пеш,(904)604-7003,ПП ХС ДГ бол/3л,4400.0
210,1,Московский,Дунайский пр. 5 к. 4,17/17,40.0,18.0,10.5,Звездная 15 пеш,(921)950-1119,"встр/кух и шкаф.ПП,б 3лет",4700.0
211,1,Московский,Дунайский пр. 3,5/17,38.0,19.0,9.0,Звездная 10 пеш,(911)929-7270,ПП лоджия вст кухня,4600.0
212,1,Московский,Варшавская ул. 66 к. 1,13/17,50.0,50.0,14.0,Московская 5 пеш,920-27-37,"ПП, ключи, Граф ОрловПр",6150.0
213,1,Московский,Варшавская ул. 6 к. 1,5/17,27.7,0.0,0.0,Московская,(911)148-0868,ПП под чист отделку,3900.0
214,1,Московский,Московский пр. 183,6/17,48.5,22.0,14.0,Московская 5 пеш,(901)316-8303,п/уст ЖК Граф Орлов,4900.0
215,1,Московский,Дунайский пр.,16/17,24.5,16.4,0.0,Звездная 10 пеш,372-50-02,Отделка! Метро! Готов!,2340.0
220,1,Московский,Юрия Гагарина пр. 14/6,13/18,35.0,15.0,8.5,Парк Победы 10 пеш,(905)280-1324,"Новый дом, Парк",5120.0
221,1,Московский,Юрия Гагарина пр. 14 к. 6,13/18,34.9,14.9,8.3,Парк Победы 7 пеш,946-05-46,"703-51-91, видовая, евро",5120.0
222,1,Московский,Юрия Гагарина пр. 14 к. 6,13/18,33.3,14.0,8.0,Парк Победы 10 пеш,(921)577-5274,"сотд,нов. дом,соб-ть,торг",4870.0
223,1,Московский,Костюшко ул. 15 к. 3,18/18,35.0,17.1,8.7,Московская 10 пеш,300-77-00,,4550.0
224,1,Московский,Космонавтов пр. 23 к. 3,2/18,35.0,15.0,8.5,Парк Победы 10 пеш,327-98-67,"9584676, Евро, охр",5200.0
225,1,Московский,Космонавтов пр. 23 к. 3,17/18,35.5,17.4,8.5,Парк Победы 15 пеш,(921)975-4322,"2012г ПП евро, техн, меб",5600.0
226,1,Московский,Дунайский / Пулковское,11/18,32.0,15.0,8.0,Звездная 10 пеш,961-32-48,"П/У, сдача 2015, балк",3800.0
227,1,Московский,Варшавская ул. 19 к. 2,18/18,26.0,18.0,5.0,Парк Победы 10 пеш,(953)172-7215,ДГ ПП 2006 гп,3400.0
228,1,Московский,5 Предпортовый прд. 8 к. 1,1/18,47.6,19.5,10.3,Московская 10 пеш,(911)926-0796,Подходит под коммер. пом.,4700.0
229,1,Московский,5 Предпортовый прд. 10,6/18,38.0,19.0,9.0,Московская,315-00-55,"89213402414,евроотделка,Л",4250.0
